"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahrain","BHR","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.78099121588458","4.68670937254689","0.0751371548025475","2.3439731234987","1.06586017558799","-1.79144504536718","8.8373035016976","4.89630529460838","1.34523427487107","2.93777510296079","0.875267251706674","0.809524891848696","1.88036179303244","-0.611346141788047","3.85912111197908","1.67813352533102","0.0672966428990662","1.12290497888516",
"Bahamas, The","BHS","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.84721213239753","-2.78122949378458","1.35637277459797","-10.7253112326492","12.0819379669817","-0.635092673500978","3.05196101917468","33.4170382550874","11.3573407202216","-5.48922056384743","8.25583435690471","-14.1097333657509","5.77467446688054","15.2096342551294","-4.27409988385598","12.3271050715846","14.5027723770433","-22.8287529086221","13.397441121343","-7.53144089112469","15.0384705059454","4.83042832049722","9.58303795836824","-6.34556574923548","10.3359497645212","-10.6880655625747","18.3585037914994","-8.02735005922257","-7.98454603992273","1.86398625866786","-25.0374718960779","5.79021911188869","-4.29201449047095","8.75503990784168","12.4763562079141",
"Bosnia and Herzegovina","BIH","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01263616634284","3.65280442509841","6.16326431183396","8.15335765658671","10.4294077027286","9.73849156461843","8.3840803218993","9.23961193302169","-4.78672350198629","1.34255842742009","-0.301266634317017","-2.40772493372702","3.75824332487311","1.87645235210574","0.455354713757245","4.86081373784448","5.10386100135463","3.85006833699796","-0.67122243379724","-2.02786584320019","9.46254585514956","1.93110967716707","-0.81252355102464","-0.7873462433583",
"Belarus","BLR","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.419842912549086","-8.38932595501504","-11.7129811364731","-17.3612745748904","-13.4411199405788","3.37265868894181","17.9642124188473","10.8416624872973","7.57068098661739","5.81684984397516","4.79973373102143","6.97136000516674","10.6176058839501","18.8297417720491","13.5544633456255","14.1423573650037","9.300201876031","15.5431564962225","0.30374420353867","11.9069138505811","7.64674474498683","2.70537455319753","-1.78046806719433","1.28489162352909","-7.34526032982518","-4.01141958120816","4.12618745724014","5.19010756383229","1.42662913536367","-0.338249614580263","2.84100442617812","-6.24955210397505","8.105840049132","5.96163239994276",
"Belize","BLZ","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","6.21279499226026","13.6961496865539","9.02103356388668","11.5124075187783","6.35933736244041","-0.521505227727346","15.2276498764715","7.55470485428337","5.71105853069784","21.2156332701994","3.33611342785656","-4.72154963680389","-3.09191020753919","2.92832167832169","0.169851380042459","3.51844001695633","12.8173628173628","8.78402903811252","19.0523857190524","18.3716277311592","8.42163513229886","10.5221319097766","8.92104124188116","-10.7092006850684","-0.473232192042914","-1.3280569369747","0.699523749383076","-2.90859425816917","9.59569288996643","29.0316083139687","-1.35448639297397","-0.0592360885759291","-10.2441441401346","8.75260028363576","-0.812446596846115","14.3941651519031","6.61565957280601","-5.24446936387668","5.96725254619388","-10.4688796778258","-1.51356106646273","-8.88723179489173","1.8341913327653","5.97289309126711","-2.5610748665129","7.88173135756874","-6.98889200838501","0.0434127089462493","4.92752182984135","-3.38974293096945","19.0490685649286","-0.470274446382447","-2.3626969505312","2.8529681923246",
"Bermuda","BMU","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-14.3392479102556","-9.34344656792929","-3.70864798477869","-3.55903461842676","-1.02473466151373","0.78889191263481","4.18207577793891","7.91133527078736","15.6443787205794","-16.3993298300307","0.460826920554112","5.32201600355636","-3.59137373870607","",
"Bolivia","BOL","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","-1.46484372394777","10.1090188013135","9.98995986937746","6.70926516925073","10.2651838956977","8.96043444925523","11.9615521496571","6.00953898008076","7.16856626332259","4.17016513789825","7.27926381390741","12.1933222878456","9.96382767075166","2.39982057515715","3.28782459402677","3.89943922547529","6.49250516600975","0.971039181660331","-4.52800742276364","-5.65728974703774","-3.32328304289697","-9.23566067202407","-1.15571183572337","-4.25807135968032","-7.3132398038599","-9.51561647982142","3.60257016789977","4.01095716652135","7.99441432207462","7.09003587374217","4.21386206540926","1.79830537263412","5.42509760911314","4.67729784096529","6.98758736370675","3.0604549900404","3.71400658928226","7.08099141961927","-1.96129295544063","2.43327326057508","0.207333244295512","2.67904427547967","0.895123727756399","6.30287744848684","6.47467068216999","6.93429526967458","6.99792160994525","10.579849170021","2.89625176257972","3.8431019163145","4.86637654154308","5.20391193823644","7.53006734042047","5.23642446550959","2.62117066146112","4.00836545439543","2.24926026213947","2.51475236703355","1.28289297360709","-20.0525983353826","18.1858693369131","1.99584188496497","0.498483827329792","-2.75433600071545",
"Brazil","BRA","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","9.4962083627332","6.94363365573636","0.142309589155374","6.20445039499384","-1.42216178354664","10.7630833016481","3.31116211809683","14.4370624061945","11.1130022714058","16.3570602923794","11.8106193834632","14.1888441654012","17.038585245624","8.49387735041682","4.90088130442112","11.7357797473268","3.14453463710704","6.43982803366407","6.79716483045793","9.25000000000009","-8.84000000000005","-0.0400000000000915","-5.91999999999993","6.3100000000001","8.26999999999987","11.66","0.990000000000109","-2.59999999999999","2.8599999999999","-8.18000000000006","0.260000005889438","-4.22000000232954","7.00999999313746","6.73131544470802","1.91221209763907","0.974616584455674","4.3749924601662","-2.09000435127575","-2.60791550298586","4.41183627532946","-0.642399979887514","3.8032193885013","0.103619615730025","8.21488956298981","1.99438713091233","2.00645481358801","6.20666415487565","4.09961140762366","-4.70228879365224","10.2030712931627","4.11432515113511","-0.722824356055284","2.16621844039777","-1.50818379924115","-5.76150331250088","-4.56629855434289","-0.500729977753139","0.716981132075617","-0.670037541596642","-2.97091074928341","5.03531206188347","1.52083162668883","1.67834292124802","3.0845565998959",
"Barbados","BRB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","15.5215254974835","-1.48156222223466","9.27100111505226","5.28800001469524","3.84835832245099","-1.39735377651931","-6.8485848387779","2.56631323507119","1.77414147022937","-6.13707036641412","5.82549130534544","-2.21621712607848","7.15880972005864","5.81858480038345","-4.59970156815157","-4.91569498707833","-12.6386680869902","1.37347275639632","0.730479646387479","6.25909093959227","5.66002981092251","7.22521765281117","-6.32837132243553","1.26603503566525","-0.749307331436128","-1.89218834962075","4.18386531689789","-0.474383704361429","2.5517923968479","7.04448902840315","-3.84839265404349","-0.102390181548699","6.47528741671921","-14.8257274804532","-10.0332002291082","-0.732427020760881","-1.3535750305218","-1.06543263021955","-0.293701729576853","2.98930831333189","-0.820974576271183","0.785046728971977","-4.12250953793981","0.105007184702117","-5.4380831447027","0.332788416627736","7.58801280186209","-3.99156255070582","4.99126809757198",
"Brunei Darussalam","BRN","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","-1.58635131177103","21.6153266001757","8.83004699861665","6.96513404040945","26.0556808300189","-11.680999417054","-24.1971567471558","0.474653669761864","0.547048116018019","-3.32231924707523","-3.11163918930004","-6.32040597637948","1.44938424298944","-3.05962224854149","-4.70936436670308","2.38861890529553","3.19640284907523","-5.11029599483483","-2.08938427117448","-0.497033762847622","1.25771059358317","1.51450718480841","4.06826076713165","-8.44719972451279","4.23828512778965","3.22691274412401","0.28696010788822","3.79841447198983","4.04880495483371","-0.705396185184284","-2.37438043211515","3.62753440559611","-6.66229101726513","-6.45886801077172","-4.51554432354044","2.1797334957528","3.24836981641461","-1.38716390708073","-5.63611237640148","-4.36306735931552","-0.0337955656909941","-2.94253181467357","1.51446825950829","-0.363798897522102","4.19181630320118","2.9091491079666","-4.16680104471737","-4.90709980332308","-1.85823196610617","5.63728690425371",
"Bhutan","BTN","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","69.9820820764033","7.53968340800397","27.9507693619757","2.20525040783323","-5.90513035526432","26.9097358843677","89.217414572001","-0.801522924528257","9.79423801018243","-1.26622083125665","-2.59149177806547","15.0327183907672","1.32217862267481","7.03607255198737","15.961057145708","3.58354524370219","-0.842265238966377","4.69157651507066","15.0764745696647","7.25661036380605","13.5962063289707","17.3929989861404","9.01207630078144","2.31394737565913","3.46053610519444","7.71918386387138","38.6443854797505","5.5099142707235","3.85658820466948","12.7442820888818","4.75517136926878","7.14851704693737","4.20829675389412","4.04555282695812","8.50582152478239","7.43898687256181","2.80198343043749","-3.99655373287645","-1.33493365398775","-14.3970363810677","3.94446593694084","5.59688172644076","-0.786956936909164","",
"Botswana","BWA","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","-2.1621807464859","3.3149462492873","-7.48660496030585","50.0742631966526","65.9795142434681","-4.4753761208792","5.77961227255462","-8.30046957276235","114.036612078717","70.5105616920575","23.7140047838094","26.3757424329468","21.2415495136581","8.99548237207888","20.4676677542656","13.1176163473941","22.4121165094781","20.842044458327","10.7382752448343","21.3371108952591","17.5822650001048","22.3770035115745","22.4936758008518","8.333619008813","3.50109601705523","7.12710058441715","8.68719226464107","16.3590377516015","10.5948562746078","3.87860459386387","4.61239989158378","-1.82078955681892","-0.836820481355744","2.55277710183893","7.13479928191829","-0.658725272655971","6.57371705994481","-1.52524649348933","6.6712193587984","6.80542920930844","0.405982029548227","12.7522737387816","1.83575148701709","-1.14803295211338","5.63700852299931","7.79962834576551","2.55058447682805","-2.24477141731182","-31.7483999407203","16.8197956139326","9.20369254409789","-3.73627195056174","14.9380280349299","5.91706975019095","-10.5160176355109","3.30364943422572","4.86477411879871","5.43649352789257","-1.48525957902621","-20.5375285348061","19.3272115226296","7.65095596810473","2.26015239954714","-13.5271980607539",
